<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
F,201701250900,12.7,12.71,12.7,12.71,300
F,201701250901,12.7,12.7,12.7,12.7,500
F,201701250903,12.7,12.7,12.7,12.7,2530
F,201701250904,12.71,12.71,12.7,12.7,1591
F,201701250906,12.7,12.71,12.7,12.71,1300
F,201701250910,12.7,12.7,12.7,12.7,644
F,201701250911,12.7,12.7,12.7,12.7,250
F,201701250912,12.7,12.7,12.7,12.7,5000
F,201701250913,12.7,12.7,12.7,12.7,2500
F,201701250915,12.71,12.71,12.7,12.71,2000
F,201701250916,12.71,12.71,12.71,12.71,1000
F,201701250917,12.71,12.71,12.71,12.71,1332
F,201701250918,12.71,12.71,12.71,12.71,100
F,201701250919,12.73,12.73,12.73,12.73,500
F,201701250920,12.72,12.72,12.72,12.72,150
F,201701250921,12.72,12.72,12.72,12.72,700
F,201701250922,12.72,12.72,12.72,12.72,300
F,201701250923,12.72,12.72,12.72,12.72,321
F,201701250924,12.71,12.71,12.71,12.71,500
F,201701250927,12.71,12.72,12.71,12.72,6774
F,201701250928,12.71,12.71,12.71,12.71,2000
F,201701250929,12.71,12.71,12.7,12.7,2380
F,201701250930,12.71,12.72,12.71,12.72,7046
F,201701250931,12.7,12.74,12.7,12.71,849260
F,201701250932,12.71,12.72,12.7,12.71,125141
F,201701250933,12.72,12.73,12.71,12.72,136901
F,201701250934,12.72,12.74,12.72,12.73,133749
F,201701250935,12.74,12.74,12.73,12.73,150715
F,201701250936,12.74,12.74,12.72,12.74,199731
F,201701250937,12.74,12.74,12.72,12.72,112278
F,201701250938,12.73,12.73,12.71,12.71,151362
F,201701250939,12.73,12.73,12.71,12.72,93412
F,201701250940,12.73,12.74,12.72,12.73,104251
F,201701250941,12.73,12.73,12.71,12.72,239765
F,201701250942,12.71,12.72,12.67,12.67,379416
F,201701250943,12.67,12.69,12.66,12.68,296000
F,201701250944,12.69,12.69,12.65,12.66,168207
F,201701250945,12.66,12.68,12.65,12.66,238552
F,201701250946,12.67,12.68,12.66,12.68,155448
F,201701250947,12.67,12.68,12.66,12.68,131936
F,201701250948,12.68,12.69,12.67,12.67,161256
F,201701250949,12.67,12.67,12.66,12.66,123677
F,201701250950,12.66,12.67,12.66,12.66,19919
F,201701250951,12.67,12.67,12.66,12.67,29340
F,201701250952,12.66,12.67,12.66,12.66,55348
F,201701250953,12.66,12.67,12.65,12.65,203862
F,201701250954,12.65,12.66,12.64,12.65,275076
F,201701250955,12.65,12.67,12.65,12.66,88056
F,201701250956,12.67,12.69,12.66,12.68,81629
F,201701250957,12.69,12.7,12.69,12.7,100277
F,201701250958,12.69,12.7,12.68,12.69,145751
F,201701250959,12.69,12.71,12.69,12.71,240453
F,201701251000,12.71,12.71,12.7,12.71,88901
F,201701251001,12.71,12.73,12.7,12.73,227993
F,201701251002,12.73,12.73,12.71,12.71,126359
F,201701251003,12.71,12.72,12.71,12.72,51442
F,201701251004,12.71,12.72,12.71,12.71,76170
F,201701251005,12.71,12.73,12.71,12.72,243720
F,201701251006,12.73,12.75,12.72,12.73,273930
F,201701251007,12.75,12.76,12.74,12.75,499224
F,201701251008,12.75,12.76,12.75,12.75,135487
F,201701251009,12.75,12.76,12.75,12.75,75068
F,201701251010,12.76,12.76,12.75,12.76,62770
F,201701251011,12.75,12.76,12.75,12.76,105108
F,201701251012,12.75,12.77,12.75,12.75,363826
F,201701251013,12.75,12.76,12.75,12.75,22512
F,201701251014,12.75,12.76,12.74,12.75,265201
F,201701251015,12.75,12.76,12.75,12.75,37299
F,201701251016,12.75,12.76,12.75,12.75,190738
F,201701251017,12.75,12.76,12.75,12.75,49931
F,201701251018,12.75,12.76,12.75,12.75,30896
F,201701251019,12.75,12.76,12.75,12.75,100946
F,201701251020,12.75,12.76,12.75,12.76,107333
F,201701251021,12.75,12.77,12.75,12.77,154217
F,201701251022,12.77,12.77,12.76,12.77,117666
F,201701251023,12.77,12.78,12.76,12.77,267318
F,201701251024,12.77,12.78,12.77,12.78,67227
F,201701251025,12.77,12.78,12.77,12.77,45611
F,201701251026,12.77,12.78,12.77,12.77,52209
F,201701251027,12.77,12.78,12.77,12.77,40307
F,201701251028,12.77,12.78,12.77,12.77,44378
F,201701251029,12.77,12.77,12.75,12.75,101065
F,201701251030,12.75,12.76,12.75,12.75,62434
F,201701251031,12.76,12.76,12.75,12.75,44907
F,201701251032,12.76,12.76,12.73,12.73,233352
F,201701251033,12.73,12.74,12.73,12.73,31679
F,201701251034,12.73,12.74,12.71,12.71,165748
F,201701251035,12.71,12.72,12.7,12.72,278867
F,201701251036,12.72,12.74,12.72,12.73,205753
F,201701251037,12.72,12.73,12.72,12.72,29019
F,201701251038,12.73,12.73,12.72,12.73,55025
F,201701251039,12.73,12.73,12.72,12.72,41864
F,201701251040,12.73,12.73,12.72,12.72,52139
F,201701251041,12.72,12.73,12.72,12.73,28528
F,201701251042,12.72,12.73,12.72,12.73,17716
F,201701251043,12.72,12.73,12.72,12.73,71526
F,201701251044,12.72,12.73,12.72,12.73,151332
F,201701251045,12.72,12.73,12.71,12.71,56597
F,201701251046,12.71,12.72,12.71,12.72,35272
F,201701251047,12.71,12.72,12.7,12.7,98183
F,201701251048,12.71,12.72,12.7,12.71,86775
F,201701251049,12.71,12.72,12.71,12.71,26256
F,201701251050,12.71,12.72,12.71,12.71,11099
F,201701251051,12.71,12.73,12.71,12.73,82007
F,201701251052,12.72,12.73,12.72,12.72,21161
F,201701251053,12.73,12.73,12.72,12.72,26116
F,201701251054,12.72,12.72,12.69,12.7,343682
F,201701251055,12.7,12.7,12.69,12.69,107979
F,201701251056,12.69,12.7,12.69,12.7,74467
F,201701251057,12.7,12.71,12.69,12.7,160355
F,201701251058,12.71,12.71,12.7,12.7,17684
F,201701251059,12.7,12.71,12.7,12.71,51846
F,201701251100,12.7,12.71,12.7,12.7,29761
F,201701251101,12.7,12.71,12.7,12.7,23272
F,201701251102,12.71,12.72,12.7,12.7,184121
F,201701251103,12.71,12.71,12.7,12.7,39130
F,201701251104,12.7,12.72,12.7,12.71,104936
F,201701251105,12.72,12.73,12.71,12.72,70129
F,201701251106,12.73,12.74,12.7,12.74,174677
F,201701251107,12.74,12.74,12.72,12.74,210453
F,201701251108,12.73,12.73,12.71,12.71,81867
F,201701251109,12.72,12.72,12.71,12.71,25174
F,201701251110,12.71,12.72,12.71,12.72,30830
