<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
GM,201701180900,37.37,37.37,37.37,37.37,100
GM,201701180920,37.38,37.38,37.38,37.38,1500
GM,201701180921,37.38,37.38,37.38,37.38,1400
GM,201701180922,37.38,37.38,37.38,37.38,500
GM,201701180923,37.38,37.38,37.38,37.38,1600
GM,201701180930,37.45,37.46,37.42,37.44,130026
GM,201701180931,37.44,37.44,37.42,37.44,9020
GM,201701180932,37.45,37.45,37.41,37.41,9255
GM,201701180933,37.41,37.41,37.24,37.24,25105
GM,201701180934,37.24,37.26,37.21,37.22,11242
GM,201701180935,37.23,37.23,37.12,37.13,20414
GM,201701180936,37.16,37.21,37.14,37.16,8359
GM,201701180937,37.15,37.22,37.15,37.21,4411
GM,201701180938,37.2,37.22,37.16,37.17,10130
GM,201701180939,37.18,37.19,37.17,37.18,12010
GM,201701180940,37.17,37.28,37.17,37.24,24597
GM,201701180941,37.24,37.25,37.2,37.2,18808
GM,201701180942,37.21,37.21,37.2,37.21,4933
GM,201701180943,37.21,37.26,37.19,37.23,14883
GM,201701180944,37.23,37.23,37.18,37.2,12048
GM,201701180945,37.2,37.23,37.2,37.23,19159
GM,201701180946,37.23,37.25,37.22,37.25,14489
GM,201701180947,37.25,37.26,37.24,37.26,12877
GM,201701180948,37.25,37.28,37.25,37.25,6649
GM,201701180949,37.25,37.26,37.23,37.23,11989
GM,201701180950,37.22,37.22,37.17,37.18,8369
GM,201701180951,37.19,37.2,37.17,37.19,11937
GM,201701180952,37.19,37.19,37.16,37.17,5133
GM,201701180953,37.17,37.19,37.16,37.18,6879
GM,201701180954,37.19,37.2,37.16,37.16,3694
GM,201701180955,37.16,37.19,37.16,37.17,4455
GM,201701180956,37.17,37.18,37.17,37.18,2858
GM,201701180957,37.18,37.2,37.18,37.2,4789
GM,201701180958,37.2,37.21,37.19,37.19,5231
GM,201701180959,37.19,37.22,37.19,37.22,10694
GM,201701181000,37.22,37.23,37.21,37.22,3514
GM,201701181001,37.22,37.23,37.22,37.22,2150
GM,201701181002,37.22,37.26,37.22,37.25,38879
GM,201701181003,37.25,37.27,37.25,37.27,18561
GM,201701181004,37.28,37.32,37.27,37.31,26501
GM,201701181005,37.32,37.33,37.23,37.28,117552
GM,201701181006,37.28,37.29,37.26,37.28,51834
GM,201701181007,37.28,37.29,37.25,37.27,10158
GM,201701181008,37.26,37.29,37.26,37.27,13054
GM,201701181009,37.27,37.27,37.26,37.26,2400
GM,201701181010,37.26,37.28,37.26,37.27,31189
GM,201701181011,37.27,37.28,37.25,37.26,21655
GM,201701181012,37.27,37.29,37.26,37.27,14432
GM,201701181013,37.28,37.37,37.28,37.35,30235
GM,201701181014,37.35,37.35,37.32,37.32,5738
GM,201701181015,37.32,37.35,37.32,37.33,10300
GM,201701181016,37.32,37.35,37.32,37.35,4849
