<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
PNC,201612090930,114.56,114.59,114.45,114.59,23193
PNC,201612090931,114.65,114.68,114.11,114.27,21796
PNC,201612090932,114.41,114.42,114.2,114.42,2080
PNC,201612090933,114.22,114.41,114.22,114.24,1350
PNC,201612090934,114.29,114.31,114.1,114.1,3820
PNC,201612090935,114.14,114.38,114.1,114.18,7101
PNC,201612090936,114.04,114.06,113.94,113.99,3498
PNC,201612090937,113.86,114.31,113.86,114.3,112477
PNC,201612090938,114.26,114.26,113.9,113.9,2800
PNC,201612090939,113.84,114.04,113.84,114.04,5069
PNC,201612090940,114.03,114.08,114,114,1200
PNC,201612090941,113.97,114.1,113.97,114.04,8630
PNC,201612090942,114.04,114.22,114.04,114.19,8776
PNC,201612090943,114.19,114.25,114.14,114.16,13898
PNC,201612090944,114.18,114.21,114.1,114.14,8261
PNC,201612090945,114.21,114.3,114.2,114.25,89565
PNC,201612090946,114.28,114.28,114.2,114.24,59668
PNC,201612090947,114.25,114.25,114.17,114.21,8286
PNC,201612090948,114.17,114.28,114.12,114.28,11862
PNC,201612090949,114.25,114.27,114.17,114.17,3060
PNC,201612090950,114.19,114.3,114.19,114.3,8548
PNC,201612090951,114.34,114.39,114.31,114.39,3900
PNC,201612090952,114.34,114.4,114.32,114.4,3300
PNC,201612090953,114.4,114.4,114.32,114.33,1500
PNC,201612090954,114.33,114.37,114.31,114.33,3520
PNC,201612090955,114.33,114.33,114.25,114.25,4049
PNC,201612090956,114.24,114.25,114.12,114.12,4230
PNC,201612090957,114.11,114.24,114.1,114.24,7818
PNC,201612090958,114.21,114.22,114.15,114.15,34337
PNC,201612090959,114.15,114.18,114.07,114.1,5095
PNC,201612091000,114.06,114.06,113.97,113.97,6759
PNC,201612091001,113.97,114.1,113.91,113.92,13937
PNC,201612091002,113.87,113.87,113.71,113.74,8998
PNC,201612091003,113.74,113.75,113.71,113.71,1300
PNC,201612091004,113.7,113.73,113.64,113.71,8795
PNC,201612091005,113.73,113.9,113.73,113.87,7908
PNC,201612091006,113.9,113.93,113.77,113.81,17980
PNC,201612091007,113.81,113.85,113.69,113.72,12212
PNC,201612091008,113.68,113.74,113.59,113.63,12895
PNC,201612091009,113.63,113.8,113.63,113.74,18581
PNC,201612091010,113.72,113.9,113.65,113.9,7467
PNC,201612091011,113.85,113.85,113.77,113.79,8190
PNC,201612091012,113.82,113.94,113.82,113.94,3900
PNC,201612091013,113.93,113.99,113.83,113.85,3390
PNC,201612091014,113.84,113.96,113.83,113.93,8237
PNC,201612091015,113.93,113.94,113.86,113.88,2400
PNC,201612091016,113.88,113.88,113.81,113.83,3564
PNC,201612091017,113.85,113.87,113.78,113.79,58705
PNC,201612091018,113.81,113.87,113.8,113.82,14211
PNC,201612091019,113.84,113.86,113.84,113.86,200
PNC,201612091020,113.84,113.87,113.77,113.86,10300
PNC,201612091021,113.76,113.77,113.71,113.72,2600
PNC,201612091022,113.72,113.74,113.63,113.63,9071
PNC,201612091023,113.66,113.67,113.62,113.64,5250
PNC,201612091024,113.63,113.64,113.58,113.58,1629
PNC,201612091025,113.61,113.69,113.59,113.69,6615
PNC,201612091026,113.7,113.82,113.7,113.8,2896
PNC,201612091027,113.79,113.84,113.78,113.83,2200
PNC,201612091028,113.84,113.85,113.71,113.72,4247
PNC,201612091029,113.66,113.72,113.66,113.7,4758
PNC,201612091030,113.7,113.87,113.7,113.83,7784
PNC,201612091031,113.82,113.91,113.81,113.9,3620
PNC,201612091032,113.92,113.98,113.92,113.96,2562
PNC,201612091033,113.97,113.97,113.97,113.97,200
PNC,201612091034,113.93,113.96,113.93,113.96,10931
