<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
XOM,201612120900,90.06,90.07,90.06,90.07,800
XOM,201612120901,90.1,90.1,90.08,90.1,2812
XOM,201612120902,90.08,90.08,90.06,90.06,1200
XOM,201612120904,90.07,90.14,90.07,90.1,325
XOM,201612120906,90.1,90.1,90.1,90.1,400
XOM,201612120907,90.1,90.1,90.07,90.07,548
XOM,201612120908,90.1,90.1,90.1,90.1,440
XOM,201612120909,90.1,90.15,90.1,90.15,400
XOM,201612120910,90.15,90.15,90.15,90.15,2750
XOM,201612120912,90.1,90.1,90.1,90.1,100
XOM,201612120913,90.1,90.13,90.08,90.13,2100
XOM,201612120915,90.13,90.2,90.13,90.2,2372
XOM,201612120916,90.2,90.23,90.18,90.2,1925
XOM,201612120917,90.15,90.15,90.15,90.15,100
XOM,201612120918,90.19,90.2,90.18,90.18,2050
XOM,201612120919,90.2,90.26,90.2,90.26,2225
XOM,201612120920,90.26,90.26,90.19,90.19,4993
XOM,201612120921,90.19,90.19,90.16,90.16,1100
XOM,201612120922,90.16,90.16,90.16,90.16,500
XOM,201612120923,90.16,90.16,90.16,90.16,400
XOM,201612120924,90.16,90.17,90.14,90.14,2359
XOM,201612120925,90.13,90.17,90.13,90.17,900
XOM,201612120926,90.15,90.17,90.13,90.17,2788
XOM,201612120927,90.15,90.16,90.13,90.13,4000
XOM,201612120928,90.13,90.16,90.09,90.1,3505
XOM,201612120929,90.1,90.1,90.1,90.1,200
XOM,201612120930,90.14,90.46,90.14,90.42,26591
XOM,201612120931,90.44,90.57,90.22,90.32,801951
XOM,201612120932,90.34,90.67,90.25,90.63,100377
XOM,201612120933,90.67,90.9,90.63,90.87,94698
XOM,201612120934,90.87,91.18,90.86,91.12,282522
XOM,201612120935,91.12,91.13,90.9,90.94,90121
XOM,201612120936,90.96,90.98,90.83,90.95,69200
XOM,201612120937,90.95,90.98,90.89,90.94,49575
XOM,201612120938,90.95,91.12,90.1,91.04,107144
XOM,201612120939,91.07,91.15,91.01,91.05,30633
XOM,201612120940,91.05,91.06,90.9,90.91,42859
XOM,201612120941,90.78,90.91,90.77,90.78,57106
XOM,201612120942,90.81,90.84,90.69,90.7,57986
XOM,201612120943,90.7,90.78,90.67,90.75,37886
XOM,201612120944,90.76,90.88,90.73,90.8,38836
XOM,201612120945,90.8,90.91,90.79,90.88,75120
XOM,201612120946,90.88,90.93,90.84,90.89,37568
XOM,201612120947,90.86,90.92,90.82,90.89,21898
XOM,201612120948,90.9,90.94,90.86,90.91,29485
XOM,201612120949,90.91,90.95,90.85,90.94,24609
XOM,201612120950,90.94,90.97,90.94,90.96,30344
XOM,201612120951,90.97,90.97,90.86,90.9,35461
XOM,201612120952,90.91,90.95,90.87,90.9,24348
XOM,201612120953,90.92,90.93,90.88,90.9,30557
XOM,201612120954,90.9,90.92,90.87,90.88,19591
XOM,201612120955,90.88,90.89,90.78,90.8,50484
XOM,201612120956,90.81,90.81,90.76,90.77,29133
XOM,201612120957,90.77,90.79,90.72,90.74,70069
XOM,201612120958,90.74,90.74,90.74,90.74,150
XOM,201612120959,90.68,90.75,90.67,90.69,37466
XOM,201612121000,90.74,90.76,90.69,90.71,33017
XOM,201612121001,90.71,90.75,90.7,90.72,46356
XOM,201612121002,90.72,90.73,90.64,90.69,83786
XOM,201612121003,90.69,90.7,90.65,90.65,65696
XOM,201612121004,90.65,90.73,90.64,90.73,34664
XOM,201612121005,90.73,90.74,90.64,90.65,30438
XOM,201612121006,90.65,90.66,90.57,90.6,43575
XOM,201612121007,90.6,90.65,90.6,90.63,22081
XOM,201612121008,90.64,90.69,90.63,90.67,17733
XOM,201612121009,90.68,90.7,90.62,90.64,58016
XOM,201612121010,90.63,90.7,90.6,90.7,28563
XOM,201612121011,90.7,90.75,90.7,90.74,56466
XOM,201612121012,90.74,90.76,90.72,90.73,44844
XOM,201612121013,90.74,90.76,90.74,90.75,4119
XOM,201612121014,90.8,90.8,90.72,90.79,53697
XOM,201612121015,90.74,90.8,90.71,90.73,41150
XOM,201612121016,90.73,90.76,90.69,90.74,28137
XOM,201612121017,90.75,90.75,90.65,90.66,26338
XOM,201612121018,90.67,90.73,90.66,90.69,32507
XOM,201612121019,90.68,90.76,90.66,90.73,23539
XOM,201612121020,90.73,90.75,90.7,90.74,25042
XOM,201612121021,90.73,90.74,90.67,90.68,35652
XOM,201612121022,90.68,90.7,90.68,90.7,18091
XOM,201612121023,90.7,90.71,90.66,90.68,29241
XOM,201612121024,90.68,90.7,90.65,90.7,31294
XOM,201612121025,90.69,90.72,90.67,90.68,39547
XOM,201612121026,90.69,90.7,90.68,90.7,6464
XOM,201612121027,90.74,90.79,90.73,90.74,36663
XOM,201612121028,90.8,90.84,90.77,90.82,34112
XOM,201612121029,90.8,90.85,90.79,90.83,40340
XOM,201612121030,90.82,90.89,90.82,90.88,53480
XOM,201612121031,90.89,90.92,90.84,90.85,73032
XOM,201612121032,90.85,90.93,90.85,90.93,24603
XOM,201612121033,90.92,90.93,90.87,90.89,22271
XOM,201612121034,90.89,90.93,90.86,90.93,21334
XOM,201612121035,90.93,90.96,90.92,90.93,22358
XOM,201612121036,90.93,90.98,90.93,90.95,31659
XOM,201612121037,90.96,90.98,90.9,90.92,42245
XOM,201612121038,90.93,90.93,90.92,90.92,800
XOM,201612121039,90.99,91,90.1,90.99,34224
XOM,201612121040,90.96,90.97,90.94,90.96,21158
XOM,201612121041,90.96,91.03,90.1,91.03,71244
XOM,201612121042,91.03,91.05,90.98,90.99,43983
XOM,201612121043,90.99,91.08,90.99,91.07,30551
XOM,201612121044,91.08,91.12,91.05,91.09,23436
XOM,201612121045,91.1,91.17,91.1,91.11,37738
XOM,201612121046,91.11,91.17,91.11,91.16,39475
XOM,201612121047,91.17,91.23,91.16,91.22,85679
XOM,201612121048,91.22,91.24,91.2,91.23,46349
XOM,201612121049,91.23,91.23,91.18,91.22,29891
XOM,201612121050,91.22,91.22,91.22,91.22,300
XOM,201612121051,91.26,91.26,91.19,91.26,30448
XOM,201612121052,91.22,91.24,91.14,91.18,57621
XOM,201612121053,91.19,91.25,91.17,91.24,32286
XOM,201612121054,91.24,91.24,91.17,91.17,20804
XOM,201612121055,91.18,91.24,91.16,91.23,26725
XOM,201612121056,91.23,91.28,91.21,91.22,36228
XOM,201612121057,91.23,91.26,91.14,91.2,96336
XOM,201612121058,91.2,91.25,91.2,91.22,58608
XOM,201612121059,91.22,91.24,91.2,91.22,41653
XOM,201612121100,91.22,91.25,91.21,91.23,36091
XOM,201612121101,91.22,91.28,91.22,91.28,46957
XOM,201612121102,91.28,91.28,91.27,91.28,2941
XOM,201612121103,91.29,91.29,91.15,91.28,49351
XOM,201612121104,91.16,91.18,91.12,91.13,34297
XOM,201612121105,91.13,91.16,91.13,91.14,34299
XOM,201612121106,91.13,91.15,91.06,91.06,46138
XOM,201612121107,91.06,91.09,91.03,91.05,49083
XOM,201612121108,91.05,91.05,91.01,91.02,26268
XOM,201612121109,91.02,91.03,90.96,90.96,78484
XOM,201612121110,90.97,91.01,90.1,90.99,28198
XOM,201612121111,90.99,91.11,90.1,91.1,39915
XOM,201612121112,91.1,91.16,91.09,91.16,21852
XOM,201612121113,91.16,91.21,91.15,91.2,22648
XOM,201612121114,91.19,91.22,91.16,91.22,18977
XOM,201612121115,91.22,91.22,91.22,91.22,800
XOM,201612121116,91.23,91.27,91.23,91.24,23823
