<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
XOM,201612090910,88.5,88.5,88.5,88.5,100
XOM,201612090912,88.51,88.51,88.51,88.51,100
XOM,201612090913,88.51,88.51,88.51,88.51,100
XOM,201612090918,88.63,88.63,88.63,88.63,100
XOM,201612090920,88.63,88.63,88.63,88.63,100
XOM,201612090922,88.73,88.73,88.73,88.73,100
XOM,201612090923,88.76,88.76,88.76,88.76,100
XOM,201612090924,88.75,88.75,88.75,88.75,334
XOM,201612090925,88.75,88.75,88.75,88.75,300
XOM,201612090926,88.72,88.72,88.72,88.72,900
XOM,201612090927,88.75,88.75,88.75,88.75,500
XOM,201612090928,88.7,88.7,88.5,88.5,2200
XOM,201612090929,88.68,88.68,88.68,88.68,300
XOM,201612090930,88.64,88.73,88.46,88.49,431511
XOM,201612090931,88.47,88.48,88.34,88.4,27854
XOM,201612090932,88.41,88.42,88.25,88.3,37027
XOM,201612090933,88.31,88.51,88.31,88.41,17286
XOM,201612090934,88.38,88.46,88.35,88.4,13832
XOM,201612090935,88.45,88.56,88.36,88.52,23898
XOM,201612090936,88.35,88.42,88.3,88.42,18910
XOM,201612090937,88.4,88.46,88.36,88.46,21809
XOM,201612090938,88.46,88.47,88.4,88.43,15309
XOM,201612090939,88.44,88.47,88.41,88.46,18951
XOM,201612090940,88.47,88.54,88.42,88.52,36744
XOM,201612090941,88.51,88.57,88.48,88.49,22695
XOM,201612090942,88.49,88.53,88.46,88.53,26200
XOM,201612090943,88.53,88.61,88.5,88.61,43339
XOM,201612090944,88.62,88.63,88.53,88.53,33300
XOM,201612090945,88.54,88.57,88.49,88.49,26025
XOM,201612090946,88.48,88.68,88.47,88.68,36321
XOM,201612090947,88.67,88.73,88.64,88.64,29520
XOM,201612090948,88.61,88.65,88.52,88.55,15239
XOM,201612090949,88.55,88.58,88.52,88.52,16648
XOM,201612090950,88.52,88.56,88.46,88.5,39256
XOM,201612090951,88.51,88.57,88.51,88.55,13859
XOM,201612090952,88.54,88.6,88.52,88.54,18169
XOM,201612090953,88.54,88.58,88.51,88.56,16523
XOM,201612090954,88.57,88.57,88.48,88.5,16035
XOM,201612090955,88.5,88.5,88.5,88.5,400
XOM,201612090956,88.55,88.56,88.53,88.56,13063
XOM,201612090957,88.54,88.54,88.48,88.49,17650
XOM,201612090958,88.49,88.5,88.47,88.49,9768
XOM,201612090959,88.51,88.51,88.45,88.45,19928
XOM,201612091000,88.44,88.47,88.33,88.36,35579
XOM,201612091001,88.37,88.44,88.37,88.42,8247
XOM,201612091002,88.42,88.45,88.4,88.41,15301
XOM,201612091003,88.42,88.45,88.42,88.45,7466
XOM,201612091004,88.45,88.46,88.39,88.44,17988
XOM,201612091005,88.44,88.49,88.43,88.48,23750
XOM,201612091006,88.49,88.5,88.44,88.48,11450
XOM,201612091007,88.49,88.54,88.46,88.52,14093
XOM,201612091008,88.52,88.56,88.51,88.52,11361
XOM,201612091009,88.53,88.56,88.52,88.56,10238
XOM,201612091010,88.56,88.58,88.56,88.57,13747
XOM,201612091011,88.57,88.59,88.55,88.58,9901
XOM,201612091012,88.58,88.63,88.55,88.62,28665
XOM,201612091013,88.62,88.65,88.62,88.64,9304
XOM,201612091014,88.63,88.68,88.63,88.64,18918
XOM,201612091015,88.64,88.64,88.55,88.6,9937
XOM,201612091016,88.59,88.6,88.55,88.58,9350
XOM,201612091017,88.58,88.62,88.57,88.58,13034
XOM,201612091018,88.59,88.63,88.54,88.54,15889
XOM,201612091019,88.54,88.54,88.52,88.52,336
XOM,201612091020,88.57,88.58,88.55,88.56,11583
XOM,201612091021,88.58,88.61,88.55,88.57,18596
XOM,201612091022,88.58,88.63,88.58,88.63,8019
XOM,201612091023,88.63,88.65,88.61,88.62,11516
XOM,201612091024,88.62,88.63,88.59,88.61,7164
XOM,201612091025,88.62,88.64,88.58,88.58,11955
XOM,201612091026,88.58,88.6,88.54,88.6,11447
XOM,201612091027,88.59,88.61,88.58,88.6,5734
XOM,201612091028,88.6,88.62,88.58,88.6,15136
XOM,201612091029,88.6,88.61,88.54,88.56,18288
XOM,201612091030,88.57,88.58,88.54,88.57,8588
XOM,201612091031,88.57,88.57,88.53,88.55,8258
XOM,201612091032,88.55,88.56,88.54,88.55,7320
XOM,201612091033,88.54,88.55,88.54,88.54,1800
XOM,201612091034,88.55,88.6,88.54,88.54,21295
XOM,201612091035,88.6,88.62,88.6,88.61,9295
XOM,201612091036,88.62,88.65,88.61,88.62,16662
XOM,201612091037,88.62,88.66,88.6,88.65,9291
XOM,201612091038,88.66,88.69,88.65,88.67,17497
XOM,201612091039,88.68,88.69,88.66,88.69,10199
XOM,201612091040,88.68,88.7,88.62,88.62,14645
XOM,201612091041,88.62,88.63,88.6,88.61,8781
XOM,201612091042,88.6,88.65,88.6,88.62,25977
XOM,201612091043,88.61,88.63,88.6,88.63,7702
XOM,201612091044,88.63,88.65,88.62,88.62,13595
XOM,201612091045,88.63,88.66,88.62,88.65,12445
XOM,201612091046,88.64,88.64,88.62,88.62,5110
XOM,201612091047,88.62,88.62,88.6,88.61,8162
XOM,201612091048,88.6,88.64,88.6,88.63,19437
XOM,201612091049,88.63,88.64,88.6,88.61,7561
XOM,201612091050,88.62,88.63,88.6,88.61,15149
XOM,201612091051,88.6,88.63,88.59,88.62,5400
XOM,201612091052,88.62,88.63,88.59,88.6,19018
XOM,201612091053,88.6,88.64,88.59,88.64,10432
XOM,201612091054,88.64,88.64,88.6,88.6,7684
XOM,201612091055,88.6,88.6,88.55,88.59,26646
XOM,201612091056,88.59,88.59,88.59,88.59,300
XOM,201612091057,88.55,88.59,88.54,88.59,13430
XOM,201612091058,88.6,88.65,88.59,88.65,6766
XOM,201612091059,88.65,88.67,88.62,88.64,20618
XOM,201612091100,88.65,88.65,88.57,88.57,6300
XOM,201612091101,88.57,88.58,88.53,88.53,7613
XOM,201612091102,88.53,88.54,88.51,88.53,20026
XOM,201612091103,88.53,88.53,88.43,88.43,19614
XOM,201612091104,88.43,88.45,88.42,88.43,10693
XOM,201612091105,88.44,88.47,88.42,88.42,12499
XOM,201612091106,88.42,88.42,88.35,88.38,37689
XOM,201612091107,88.38,88.39,88.35,88.36,9935
XOM,201612091108,88.36,88.37,88.35,88.36,15655
XOM,201612091109,88.35,88.38,88.35,88.37,6264
XOM,201612091110,88.37,88.41,88.36,88.41,13572
XOM,201612091111,88.4,88.42,88.37,88.42,13735
XOM,201612091112,88.41,88.43,88.4,88.41,4750
XOM,201612091113,88.42,88.42,88.37,88.38,16531
XOM,201612091114,88.38,88.39,88.37,88.38,14337
XOM,201612091115,88.37,88.37,88.34,88.37,18285
XOM,201612091116,88.36,88.39,88.36,88.38,16047
XOM,201612091117,88.38,88.38,88.33,88.37,15020
XOM,201612091118,88.37,88.39,88.36,88.37,6050
XOM,201612091119,88.37,88.37,88.32,88.33,15801
XOM,201612091120,88.32,88.33,88.32,88.32,1615
XOM,201612091121,88.29,88.31,88.27,88.27,13666
XOM,201612091122,88.27,88.33,88.27,88.31,9289
XOM,201612091123,88.31,88.32,88.28,88.29,5519
XOM,201612091124,88.29,88.35,88.29,88.34,10962
XOM,201612091125,88.33,88.34,88.31,88.33,10165
XOM,201612091126,88.32,88.32,88.28,88.3,15708
XOM,201612091127,88.3,88.35,88.29,88.35,6965
XOM,201612091128,88.34,88.35,88.28,88.28,13593
XOM,201612091129,88.29,88.34,88.28,88.34,17709
XOM,201612091130,88.34,88.35,88.3,88.33,17690
XOM,201612091131,88.34,88.34,88.34,88.34,400
XOM,201612091132,88.3,88.32,88.28,88.3,21993
XOM,201612091133,88.28,88.28,88.19,88.2,19904
XOM,201612091134,88.2,88.29,88.18,88.27,19616
XOM,201612091135,88.27,88.3,88.26,88.29,9091
XOM,201612091136,88.28,88.32,88.28,88.29,9556
XOM,201612091137,88.3,88.31,88.29,88.3,7780
XOM,201612091138,88.31,88.32,88.28,88.31,31894
XOM,201612091139,88.32,88.36,88.31,88.36,12470
XOM,201612091140,88.35,88.4,88.34,88.39,14800
XOM,201612091141,88.4,88.42,88.38,88.41,12282
XOM,201612091142,88.42,88.44,88.41,88.42,13270
XOM,201612091143,88.42,88.43,88.41,88.42,7200
XOM,201612091144,88.43,88.46,88.42,88.44,13034
XOM,201612091145,88.44,88.46,88.44,88.45,19112
XOM,201612091146,88.45,88.46,88.45,88.46,7361
XOM,201612091147,88.45,88.52,88.45,88.48,29492
XOM,201612091148,88.49,88.52,88.48,88.52,15450
XOM,201612091149,88.52,88.52,88.49,88.52,14619
XOM,201612091150,88.52,88.54,88.49,88.5,10379
XOM,201612091151,88.5,88.51,88.48,88.5,8620
XOM,201612091152,88.5,88.5,88.44,88.44,6997
XOM,201612091153,88.44,88.47,88.41,88.41,12405
XOM,201612091154,88.41,88.42,88.41,88.42,1524
XOM,201612091155,88.39,88.41,88.38,88.41,9539
XOM,201612091156,88.42,88.42,88.37,88.37,15132
XOM,201612091157,88.38,88.38,88.33,88.33,6434
XOM,201612091158,88.32,88.34,88.3,88.3,17168
XOM,201612091159,88.3,88.32,88.28,88.32,22537
XOM,201612091200,88.33,88.34,88.31,88.34,7045
XOM,201612091201,88.33,88.34,88.3,88.3,7871
XOM,201612091202,88.3,88.32,88.29,88.29,20936
XOM,201612091203,88.3,88.33,88.29,88.33,7178
XOM,201612091204,88.34,88.34,88.3,88.34,9472
XOM,201612091205,88.33,88.34,88.33,88.34,2299
XOM,201612091206,88.35,88.39,88.35,88.37,7908
XOM,201612091207,88.39,88.4,88.38,88.39,2433
XOM,201612091208,88.38,88.41,88.38,88.4,8952
XOM,201612091209,88.39,88.39,88.36,88.38,3321
XOM,201612091210,88.38,88.41,88.37,88.38,6170
XOM,201612091211,88.38,88.39,88.37,88.38,10467
XOM,201612091212,88.38,88.4,88.37,88.4,2600
XOM,201612091213,88.39,88.41,88.37,88.37,10641
XOM,201612091214,88.38,88.38,88.36,88.37,5440
XOM,201612091215,88.37,88.38,88.34,88.37,13916
XOM,201612091216,88.36,88.36,88.31,88.33,9821
XOM,201612091217,88.33,88.33,88.33,88.33,100
XOM,201612091218,88.35,88.38,88.35,88.36,10114
XOM,201612091219,88.36,88.39,88.35,88.39,9044
XOM,201612091220,88.39,88.41,88.39,88.4,3930
XOM,201612091221,88.41,88.45,88.4,88.43,12573
XOM,201612091222,88.44,88.47,88.43,88.46,6083
XOM,201612091223,88.46,88.46,88.43,88.44,6872
XOM,201612091224,88.45,88.45,88.44,88.45,1624
XOM,201612091225,88.45,88.46,88.44,88.45,7254
XOM,201612091226,88.45,88.47,88.45,88.46,4423
XOM,201612091227,88.46,88.46,88.44,88.46,6323
XOM,201612091228,88.46,88.5,88.46,88.5,9097
XOM,201612091229,88.49,88.5,88.45,88.47,9449
XOM,201612091230,88.47,88.5,88.44,88.49,16504
XOM,201612091231,88.49,88.52,88.49,88.51,9120
XOM,201612091232,88.52,88.54,88.52,88.54,2100
XOM,201612091233,88.56,88.57,88.53,88.55,11080
XOM,201612091234,88.54,88.55,88.52,88.54,7165
XOM,201612091235,88.54,88.57,88.53,88.57,6919
XOM,201612091236,88.57,88.57,88.55,88.56,5475
XOM,201612091237,88.57,88.57,88.56,88.56,4135
XOM,201612091238,88.57,88.58,88.56,88.57,5819
XOM,201612091239,88.57,88.57,88.52,88.52,9005
XOM,201612091240,88.52,88.52,88.48,88.48,10597
XOM,201612091241,88.48,88.49,88.44,88.44,20205
XOM,201612091242,88.44,88.45,88.4,88.41,8934
XOM,201612091243,88.41,88.42,88.38,88.38,8570
XOM,201612091244,88.38,88.38,88.38,88.38,100
XOM,201612091245,88.45,88.46,88.41,88.43,25642
XOM,201612091246,88.42,88.47,88.42,88.46,6753
XOM,201612091247,88.47,88.49,88.47,88.47,12746
XOM,201612091248,88.49,88.52,88.49,88.52,10873
XOM,201612091249,88.52,88.54,88.51,88.52,15434
XOM,201612091250,88.52,88.55,88.51,88.55,9980
XOM,201612091251,88.55,88.55,88.5,88.53,17657
XOM,201612091252,88.52,88.54,88.52,88.54,6128
XOM,201612091253,88.54,88.54,88.51,88.53,8066
XOM,201612091254,88.53,88.55,88.52,88.53,8913
XOM,201612091255,88.52,88.52,88.52,88.52,670
XOM,201612091256,88.55,88.56,88.53,88.54,7616
XOM,201612091257,88.53,88.53,88.51,88.52,5783
XOM,201612091258,88.53,88.54,88.51,88.52,5966
XOM,201612091259,88.52,88.52,88.5,88.5,3494
XOM,201612091300,88.51,88.52,88.47,88.49,12589
XOM,201612091301,88.48,88.52,88.48,88.52,7068
XOM,201612091302,88.52,88.52,88.49,88.5,3587
XOM,201612091303,88.49,88.52,88.49,88.52,7018
XOM,201612091304,88.52,88.54,88.5,88.53,9463
XOM,201612091305,88.54,88.54,88.51,88.51,3550
XOM,201612091306,88.52,88.52,88.49,88.5,8555
XOM,201612091307,88.5,88.53,88.5,88.53,3740
XOM,201612091308,88.53,88.55,88.51,88.53,4809
XOM,201612091309,88.54,88.58,88.53,88.58,17526
XOM,201612091310,88.57,88.6,88.57,88.59,11216
XOM,201612091311,88.59,88.59,88.56,88.57,8025
XOM,201612091312,88.57,88.58,88.55,88.56,6303
XOM,201612091313,88.55,88.58,88.55,88.58,16502
XOM,201612091314,88.59,88.59,88.57,88.58,11660
XOM,201612091315,88.58,88.59,88.57,88.58,6390
XOM,201612091316,88.58,88.62,88.58,88.62,29891
XOM,201612091317,88.62,88.62,88.6,88.61,4850
XOM,201612091318,88.61,88.61,88.6,88.61,3376
XOM,201612091319,88.6,88.61,88.56,88.56,19431
XOM,201612091320,88.56,88.61,88.55,88.59,15972
XOM,201612091321,88.59,88.6,88.57,88.6,3000
XOM,201612091322,88.6,88.6,88.6,88.6,800
XOM,201612091323,88.57,88.63,88.57,88.61,20001
XOM,201612091324,88.62,88.65,88.62,88.64,5509
