<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
STT,201612090930,81.19,81.19,80.89,80.91,23223
STT,201612090931,81.04,81.11,81.04,81.08,750
STT,201612090932,81.09,81.09,81.08,81.08,200
STT,201612090933,81.06,81.06,80.94,80.94,1500
STT,201612090934,80.85,80.85,80.77,80.77,1520
STT,201612090935,80.75,80.75,80.63,80.63,1270
STT,201612090936,80.5,80.75,80.5,80.75,1123
STT,201612090937,80.7,80.81,80.67,80.81,1150
STT,201612090938,80.77,80.77,80.74,80.75,600
STT,201612090939,80.77,80.85,80.75,80.85,1750
STT,201612090940,80.81,80.81,80.77,80.77,700
STT,201612090941,80.81,80.82,80.74,80.74,1490
STT,201612090942,80.8,80.84,80.79,80.82,830
STT,201612090943,80.82,80.82,80.73,80.74,1010
STT,201612090944,80.72,80.72,80.62,80.62,1758
STT,201612090945,80.7,80.78,80.7,80.78,300
STT,201612090946,80.71,80.8,80.71,80.78,1176
STT,201612090947,80.78,80.8,80.74,80.75,2900
STT,201612090948,80.7,80.79,80.7,80.79,400
STT,201612090949,80.81,80.81,80.73,80.74,900
STT,201612090950,80.79,80.8,80.77,80.77,1712
STT,201612090951,80.82,80.88,80.8,80.85,2856
STT,201612090952,80.86,80.96,80.86,80.96,1200
STT,201612090953,80.97,80.97,80.93,80.93,943
STT,201612090954,80.95,80.95,80.95,80.95,600
STT,201612090955,80.93,80.93,80.93,80.93,100
STT,201612090956,80.83,80.83,80.78,80.8,1200
STT,201612090957,80.78,80.83,80.72,80.83,1200
STT,201612090958,80.78,80.78,80.74,80.74,1600
STT,201612090959,80.74,80.78,80.74,80.78,683
STT,201612091000,80.78,80.78,80.65,80.65,3131
STT,201612091001,80.71,80.74,80.67,80.69,3430
STT,201612091002,80.61,80.61,80.51,80.55,37800
STT,201612091003,80.52,80.55,80.51,80.54,975
STT,201612091004,80.53,80.54,80.51,80.54,2211
STT,201612091005,80.53,80.55,80.5,80.53,3888
STT,201612091006,80.54,80.56,80.52,80.54,2500
STT,201612091007,80.58,80.58,80.51,80.54,1611
STT,201612091008,80.54,80.54,80.49,80.5,1300
STT,201612091009,80.51,80.57,80.5,80.55,1400
STT,201612091010,80.59,80.61,80.56,80.6,1600
STT,201612091011,80.59,80.64,80.57,80.64,2100
STT,201612091012,80.67,80.72,80.67,80.71,1100
STT,201612091013,80.74,80.74,80.7,80.71,1750
STT,201612091014,80.68,80.69,80.66,80.68,800
STT,201612091015,80.67,80.67,80.59,80.64,1075
STT,201612091016,80.6,80.63,80.53,80.54,3100
STT,201612091017,80.56,80.56,80.38,80.39,5119
STT,201612091018,80.4,80.47,80.3,80.3,3852
STT,201612091019,80.3,80.36,80.24,80.32,12186
STT,201612091020,80.35,80.39,80.32,80.39,1600
STT,201612091021,80.42,80.42,80.42,80.42,100
STT,201612091022,80.42,80.42,80.31,80.31,1300
STT,201612091023,80.31,80.32,80.27,80.29,1700
STT,201612091024,80.31,80.36,80.29,80.34,3180
STT,201612091025,80.35,80.4,80.33,80.35,3844
STT,201612091026,80.38,80.41,80.36,80.4,2673
STT,201612091027,80.4,80.43,80.4,80.43,400
STT,201612091028,80.39,80.39,80.28,80.28,1106
STT,201612091029,80.28,80.33,80.27,80.3,1714
STT,201612091030,80.31,80.35,80.3,80.35,2400
STT,201612091031,80.34,80.39,80.32,80.39,4129
STT,201612091032,80.4,80.41,80.38,80.38,6073
STT,201612091033,80.37,80.37,80.36,80.36,530
STT,201612091034,80.42,80.52,80.41,80.52,1735
STT,201612091035,80.52,80.57,80.51,80.51,4500
STT,201612091036,80.5,80.51,80.47,80.5,2775
STT,201612091037,80.5,80.57,80.5,80.55,4778
STT,201612091038,80.61,80.61,80.55,80.56,4450
STT,201612091039,80.56,80.61,80.56,80.58,2757
STT,201612091040,80.57,80.6,80.55,80.55,2930
STT,201612091041,80.55,80.63,80.55,80.63,3580
STT,201612091042,80.63,80.63,80.54,80.63,4689
STT,201612091043,80.62,80.62,80.59,80.59,4727
STT,201612091044,80.6,80.61,80.56,80.6,3188
STT,201612091045,80.6,80.61,80.59,80.61,1600
STT,201612091046,80.6,80.62,80.6,80.61,5578
STT,201612091047,80.59,80.6,80.57,80.57,4071
STT,201612091048,80.58,80.61,80.58,80.6,6951
STT,201612091049,80.6,80.61,80.59,80.6,1600
STT,201612091050,80.61,80.63,80.6,80.61,3056
STT,201612091051,80.63,80.64,80.62,80.63,2900
STT,201612091052,80.62,80.62,80.59,80.59,1245
STT,201612091053,80.57,80.59,80.55,80.56,2720
STT,201612091054,80.54,80.57,80.54,80.57,1000
STT,201612091055,80.55,80.55,80.5,80.5,10900
STT,201612091056,80.47,80.47,80.47,80.47,300
STT,201612091057,80.45,80.47,80.43,80.43,3190
STT,201612091058,80.43,80.47,80.43,80.47,1600
STT,201612091059,80.48,80.48,80.46,80.46,1200
STT,201612091100,80.45,80.46,80.44,80.46,500
STT,201612091101,80.46,80.47,80.44,80.47,1000
STT,201612091102,80.45,80.45,80.4,80.41,1600
STT,201612091103,80.39,80.39,80.36,80.36,800
STT,201612091104,80.37,80.37,80.3,80.3,7976
STT,201612091105,80.33,80.33,80.29,80.29,2150
STT,201612091106,80.32,80.32,80.27,80.27,2548
STT,201612091107,80.28,80.28,80.23,80.24,4621
STT,201612091108,80.23,80.23,80.2,80.21,2100
STT,201612091109,80.2,80.26,80.2,80.26,1414
STT,201612091110,80.26,80.31,80.26,80.27,2250
STT,201612091111,80.27,80.27,80.23,80.23,988
STT,201612091112,80.22,80.26,80.22,80.25,1497
STT,201612091113,80.25,80.26,80.2,80.2,2100
STT,201612091114,80.22,80.23,80.2,80.2,1600
STT,201612091115,80.24,80.31,80.22,80.29,880
STT,201612091116,80.31,80.31,80.26,80.29,2422
STT,201612091117,80.29,80.34,80.29,80.33,1654
STT,201612091118,80.35,80.35,80.33,80.34,2500
STT,201612091119,80.33,80.33,80.31,80.31,500
STT,201612091120,80.33,80.34,80.33,80.34,1400
