<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
LMT,201701180930,254.1,254.73,254.1,254.2,13250
LMT,201701180931,254.4,254.72,254.26,254.5,1123
LMT,201701180932,254.21,254.21,253.58,253.58,4311
LMT,201701180933,253.82,254.05,253.41,253.43,3500
LMT,201701180934,253.43,253.7,253.43,253.7,300
LMT,201701180935,253.7,253.7,253.27,253.27,6325
LMT,201701180936,253.22,253.22,253.22,253.22,200
LMT,201701180937,253.49,253.6,253.4,253.5,1499
LMT,201701180938,253.5,253.52,253.25,253.25,2165
LMT,201701180939,253.24,253.38,253.17,253.38,5234
LMT,201701180940,253.33,253.52,253.19,253.39,4516
LMT,201701180941,253.48,253.48,253.39,253.4,320
LMT,201701180942,253.46,253.46,253.41,253.41,550
LMT,201701180943,253.46,253.6,253.42,253.43,1224
LMT,201701180944,253.37,253.37,253.17,253.17,1893
LMT,201701180945,253.18,253.35,253.18,253.2,2339
LMT,201701180946,253.21,253.27,253.21,253.27,293
LMT,201701180947,253.23,253.32,253.12,253.12,1000
LMT,201701180948,253.11,253.2,253.1,253.1,1626
LMT,201701180949,253.04,253.04,252.94,252.94,1258
LMT,201701180950,252.98,253.24,252.96,252.96,3964
LMT,201701180951,253.11,253.12,252.98,253.12,1260
LMT,201701180952,253.07,253.32,253.07,253.31,1400
LMT,201701180953,253.31,253.36,253.23,253.23,800
LMT,201701180954,253.22,253.71,253.13,253.66,4993
LMT,201701180955,253.59,253.68,253.26,253.33,4796
LMT,201701180956,253.33,253.52,253.21,253.52,3573
LMT,201701180957,253.43,253.52,253.24,253.49,4277
LMT,201701180958,253.33,253.67,253.27,253.5,7094
LMT,201701180959,253.53,253.53,253.42,253.44,2500
LMT,201701181000,253.47,253.63,253.42,253.42,1137
LMT,201701181001,253.44,253.71,253.44,253.57,5692
LMT,201701181002,253.51,253.51,253.49,253.49,400
LMT,201701181003,253.49,253.49,253.37,253.37,468
LMT,201701181004,253.36,253.5,253.36,253.38,714
LMT,201701181005,253.34,253.46,253.32,253.36,1600
LMT,201701181006,253.51,253.51,253.33,253.33,900
LMT,201701181007,253.29,253.31,253.2,253.2,1045
LMT,201701181008,253.16,253.55,253.16,253.55,4160
LMT,201701181009,253.55,253.55,253.45,253.45,735
LMT,201701181010,253.5,253.5,253.28,253.28,1400
LMT,201701181011,253.28,253.3,253.15,253.3,800
LMT,201701181012,253.34,253.5,253.2,253.42,3600
LMT,201701181013,253.39,253.39,253.3,253.32,400
LMT,201701181014,253.45,253.47,253.45,253.47,400
LMT,201701181015,253.47,253.48,253.36,253.41,1400
LMT,201701181016,253.38,253.48,253.34,253.48,1003
LMT,201701181017,253.38,253.65,253.38,253.6,5431
LMT,201701181018,253.57,253.61,253.38,253.38,3964
LMT,201701181019,253.22,253.44,253.21,253.25,7285
LMT,201701181020,253.22,253.27,253.13,253.15,3393
LMT,201701181021,253.13,253.49,253.13,253.4,3166
LMT,201701181022,253.35,253.35,253.2,253.2,1750
LMT,201701181023,253.15,253.27,253.11,253.27,3902
LMT,201701181024,253.25,253.54,253.13,253.44,2794
LMT,201701181025,253.41,253.44,253.23,253.35,2600
LMT,201701181026,253.23,253.34,253.23,253.32,1526
LMT,201701181027,253.33,253.34,253.23,253.28,5652
LMT,201701181028,253.28,253.3,253.18,253.26,8593
LMT,201701181029,253.26,253.35,253.26,253.27,2200
LMT,201701181030,253.27,253.45,253.27,253.45,1093
LMT,201701181031,253.51,253.52,253.46,253.48,1100
LMT,201701181032,253.51,253.69,253.5,253.69,1405
LMT,201701181033,253.56,253.56,253.56,253.56,100
LMT,201701181034,253.74,253.76,253.69,253.75,1400
LMT,201701181035,253.76,253.83,253.69,253.8,2200
LMT,201701181036,253.85,253.9,253.72,253.77,3646
LMT,201701181037,253.74,253.88,253.74,253.88,993
LMT,201701181039,253.82,253.89,253.82,253.83,892
LMT,201701181040,253.83,253.94,253.83,253.83,5866
LMT,201701181041,253.88,253.89,253.82,253.84,2100
LMT,201701181042,253.81,253.89,253.8,253.88,1000
LMT,201701181044,253.81,253.81,253.41,253.41,2719
LMT,201701181045,253.58,253.61,253.5,253.5,500
LMT,201701181046,253.63,253.72,253.59,253.65,2730
LMT,201701181047,253.72,253.79,253.65,253.65,1620
LMT,201701181048,253.75,253.75,253.38,253.38,1202
LMT,201701181050,253.45,253.45,253.45,253.45,100
LMT,201701181051,253.45,253.45,253.28,253.28,1400
LMT,201701181052,253.36,253.39,253.31,253.34,1500
LMT,201701181053,253.33,253.4,253.33,253.4,581
LMT,201701181055,253.39,253.48,253.38,253.4,2400
LMT,201701181057,253.45,253.58,253.45,253.56,1577
LMT,201701181058,253.59,253.65,253.58,253.65,1000
LMT,201701181059,253.63,253.64,253.59,253.59,704
LMT,201701181100,253.56,253.67,253.56,253.6,607
LMT,201701181101,253.59,253.59,253.41,253.41,1300
LMT,201701181102,253.48,253.55,253.44,253.44,300
LMT,201701181103,253.44,253.44,253.36,253.42,600
LMT,201701181104,253.43,253.54,253.35,253.5,2900
LMT,201701181105,253.5,253.58,253.45,253.45,1417
LMT,201701181106,253.45,253.59,253.45,253.58,1800
LMT,201701181107,253.62,253.67,253.61,253.61,704
LMT,201701181108,253.64,253.74,253.64,253.72,332
LMT,201701181109,253.69,253.72,253.63,253.7,2974
LMT,201701181110,253.74,253.8,253.74,253.8,1500
LMT,201701181111,253.77,253.77,253.63,253.68,3200
LMT,201701181112,253.61,253.68,253.59,253.66,1574
LMT,201701181113,253.65,253.65,253.62,253.62,200
LMT,201701181114,253.67,253.73,253.61,253.65,951
LMT,201701181115,253.65,253.76,253.61,253.76,2743
LMT,201701181116,253.7,253.91,253.7,253.91,1200
