<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
M,201512070914,39.28,39.28,39.28,39.28,100
M,201512070920,39.09,39.09,39.09,39.09,100
M,201512070926,39.1,39.1,39.1,39.1,277
M,201512070927,39.1,39.1,39.1,39.1,186
M,201512070929,39.13,39.13,39.13,39.13,100
M,201512070930,39.06,39.06,39.01,39.02,5421
M,201512070931,39.05,39.08,38.98,38.98,16497
M,201512070932,38.97,39.02,38.86,38.8815,13520
M,201512070933,38.88,38.9,38.75,38.7594,13705
M,201512070934,38.77,38.87,38.71,38.82,16766
M,201512070935,38.82,38.87,38.71,38.87,30276
M,201512070936,38.86,38.97,38.81,38.91,51026
M,201512070937,38.92,39.07,38.9,38.9,38539
M,201512070938,38.88,38.9,38.82,38.9,10263
M,201512070939,38.88,38.9,38.82,38.82,5839
M,201512070940,38.82,38.82,38.7599,38.79,15690
M,201512070941,38.79,38.9,38.78,38.9,10998
M,201512070942,38.9,39.04,38.9,39.01,9637
M,201512070943,38.99,39.03,38.86,38.89,14281
M,201512070944,38.9099,39.05,38.86,39.04,10397
M,201512070945,39.03,39.05,38.97,38.98,14090
M,201512070946,38.97,38.98,38.89,38.92,11233
M,201512070947,38.91,38.9799,38.89,38.9701,21100
M,201512070948,38.97,38.9899,38.94,38.95,11172
M,201512070949,38.92,38.93,38.83,38.83,12938
M,201512070950,38.83,38.83,38.77,38.77,6840
M,201512070951,38.76,38.805,38.73,38.77,8596
M,201512070952,38.76,38.77,38.68,38.73,13541
M,201512070953,38.74,38.75,38.73,38.73,5809
M,201512070954,38.73,38.73,38.69,38.72,9404
M,201512070955,38.72,38.73,38.68,38.7,15529
M,201512070956,38.7,38.78,38.67,38.76,36121
M,201512070957,38.75,38.78,38.73,38.77,17497
M,201512070958,38.77,38.77,38.7058,38.7199,7800
M,201512070959,38.7,38.71,38.63,38.67,27817
M,201512071000,38.67,38.67,38.57,38.57,16519
M,201512071001,38.58,38.69,38.58,38.68,7049
M,201512071002,38.68,38.72,38.64,38.67,17882
M,201512071003,38.66,38.66,38.58,38.6,13007
M,201512071004,38.59,38.67,38.59,38.66,7012
M,201512071005,38.66,38.67,38.63,38.63,19613
M,201512071006,38.63,38.66,38.6,38.6,20945
M,201512071007,38.6,38.61,38.59,38.61,5700
M,201512071008,38.6,38.62,38.57,38.57,12362
M,201512071009,38.57,38.66,38.57,38.65,12597
M,201512071010,38.65,38.65,38.57,38.58,10798
M,201512071011,38.57,38.64,38.57,38.6335,15039
M,201512071012,38.64,38.65,38.6,38.6,12696
M,201512071013,38.5901,38.645,38.5901,38.64,7080
M,201512071014,38.64,38.6992,38.64,38.6992,13006
M,201512071015,38.69,38.81,38.68,38.81,28958
M,201512071016,38.81,38.81,38.7625,38.81,14264
M,201512071017,38.8,38.8,38.78,38.8,3911
M,201512071018,38.8,38.81,38.76,38.78,11394
M,201512071019,38.78,38.81,38.76,38.76,10320
M,201512071020,38.76,38.76,38.7,38.7149,6753
M,201512071021,38.71,38.74,38.71,38.73,6207
M,201512071022,38.7301,38.74,38.7,38.71,10931
M,201512071023,38.72,38.74,38.7,38.725,4015
M,201512071024,38.72,38.73,38.71,38.73,2600
M,201512071025,38.73,38.7399,38.7,38.7,6175
M,201512071026,38.71,38.73,38.7075,38.71,5556
M,201512071027,38.72,38.72,38.64,38.64,14463
M,201512071028,38.63,38.65,38.6,38.62,7461
M,201512071029,38.63,38.68,38.63,38.68,6156
M,201512071030,38.68,38.68,38.61,38.62,10710
M,201512071031,38.62,38.65,38.61,38.61,6758
M,201512071032,38.609,38.62,38.58,38.61,4412
M,201512071033,38.61,38.62,38.61,38.61,3001
M,201512071034,38.61,38.61,38.56,38.59,13917
M,201512071035,38.595,38.6,38.54,38.57,10698
M,201512071036,38.58,38.63,38.58,38.63,13379
M,201512071037,38.62,38.63,38.59,38.63,4293
M,201512071038,38.64,38.66,38.64,38.66,3925
M,201512071039,38.67,38.68,38.65,38.66,5878
M,201512071040,38.66,38.66,38.62,38.63,8809
M,201512071041,38.64,38.66,38.63,38.63,8400
M,201512071042,38.62,38.64,38.62,38.64,6752
M,201512071043,38.64,38.66,38.62,38.65,10940
M,201512071044,38.63,38.64,38.61,38.63,5700
M,201512071045,38.64,38.64,38.59,38.6,11300
M,201512071046,38.6,38.61,38.59,38.6,5784
M,201512071047,38.59,38.6,38.57,38.6,12353
M,201512071048,38.6,38.605,38.56,38.57,9523
M,201512071049,38.575,38.59,38.55,38.59,10041
M,201512071050,38.5901,38.62,38.5901,38.6,6264
M,201512071051,38.605,38.62,38.6,38.61,2123
M,201512071052,38.61,38.65,38.61,38.6215,18088
M,201512071053,38.6362,38.64,38.62,38.64,8385
M,201512071054,38.64,38.64,38.6,38.64,10148
M,201512071055,38.64,38.64,38.6,38.63,14804
M,201512071056,38.63,38.63,38.52,38.53,26456
M,201512071057,38.53,38.57,38.52,38.54,15938
M,201512071058,38.54,38.56,38.54,38.555,3759
M,201512071059,38.56,38.59,38.56,38.57,11289
M,201512071100,38.57,38.6,38.55,38.6,12088
M,201512071101,38.6,38.6099,38.56,38.58,8481
M,201512071102,38.57,38.61,38.57,38.595,15058
M,201512071103,38.595,38.62,38.59,38.61,7936
M,201512071104,38.61,38.65,38.61,38.63,18837
M,201512071105,38.63,38.65,38.61,38.65,11847
M,201512071106,38.64,38.67,38.62,38.67,15086
M,201512071107,38.66,38.69,38.65,38.68,19744
M,201512071108,38.68,38.72,38.68,38.71,5250
M,201512071109,38.71,38.72,38.7,38.7,15912
M,201512071110,38.7099,38.75,38.7099,38.7465,11247
M,201512071111,38.74,38.74,38.69,38.69,11631
M,201512071112,38.69,38.74,38.69,38.71,12397
M,201512071113,38.72,38.74,38.72,38.73,4900
M,201512071114,38.72,38.75,38.72,38.74,8386
M,201512071115,38.74,38.75,38.74,38.74,2000
M,201512071116,38.74,38.76,38.73,38.75,23820
M,201512071117,38.75,38.78,38.75,38.78,15249
M,201512071118,38.77,38.78,38.74,38.74,8790
M,201512071119,38.75,38.77,38.74,38.76,12664
M,201512071120,38.77,38.79,38.77,38.78,15549
M,201512071121,38.78,38.79,38.77,38.77,9297
M,201512071122,38.77,38.77,38.7,38.73,10850
M,201512071123,38.73,38.76,38.73,38.75,12292
M,201512071124,38.75,38.78,38.75,38.78,13809
M,201512071125,38.7758,38.78,38.77,38.78,2975
M,201512071126,38.79,38.79,38.715,38.73,31963
M,201512071127,38.73,38.75,38.73,38.74,6474
M,201512071128,38.74,38.76,38.74,38.76,6305
M,201512071129,38.75,38.75,38.725,38.73,13701
M,201512071130,38.72,38.77,38.72,38.76,13059
M,201512071131,38.77,38.81,38.77,38.79,20552
M,201512071132,38.79,38.81,38.78,38.7815,19137
M,201512071133,38.8,38.81,38.8,38.8,6079
M,201512071134,38.8,38.82,38.78,38.81,10417
M,201512071135,38.81,38.87,38.81,38.85,10295
M,201512071136,38.86,38.8635,38.85,38.86,7302
M,201512071137,38.8651,38.89,38.86,38.88,14260
M,201512071138,38.87,38.89,38.86,38.89,14440
M,201512071139,38.88,38.88,38.87,38.88,11935
M,201512071140,38.88,38.89,38.86,38.88,11444
M,201512071141,38.88,38.88,38.87,38.87,4659
M,201512071142,38.87,38.88,38.86,38.88,27171
M,201512071143,38.87,38.87,38.83,38.83,13648
M,201512071144,38.82,38.84,38.81,38.83,12151
M,201512071145,38.83,38.83,38.8,38.8,16098
M,201512071146,38.8,38.82,38.78,38.82,11810
M,201512071147,38.82,38.85,38.81,38.84,18257
M,201512071148,38.83,38.86,38.83,38.85,16628
M,201512071149,38.8531,38.86,38.81,38.85,22451
M,201512071150,38.85,38.86,38.84,38.85,13173
M,201512071151,38.85,38.88,38.85,38.87,11311
M,201512071152,38.88,38.94,38.8749,38.92,15449
M,201512071153,38.9217,38.9217,38.89,38.92,48949
M,201512071154,38.93,38.96,38.89,38.95,71671
M,201512071155,38.96,38.97,38.96,38.97,12345
M,201512071156,38.98,39.02,38.9799,39.02,7129
M,201512071157,39.02,39.02,39.01,39.01,4100
M,201512071158,39.01,39.01,38.97,38.98,4520
M,201512071159,38.98,38.98,38.94,38.96,17440
M,201512071200,38.95,38.95,38.92,38.93,5053
M,201512071201,38.92,38.92,38.8929,38.9,8066
M,201512071202,38.91,38.92,38.91,38.92,1950
M,201512071203,38.93,38.94,38.92,38.94,7451
