<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
PNC,201612130930,114.22,114.72,114.22,114.72,21301
PNC,201612130931,114.68,114.81,114.48,114.81,1060
PNC,201612130932,114.79,114.79,114.61,114.61,2000
PNC,201612130933,114.63,114.66,114.58,114.59,1020
PNC,201612130934,114.6,114.65,114.5,114.65,1800
PNC,201612130935,114.6,114.6,114.6,114.6,150
PNC,201612130936,114.65,114.79,114.65,114.79,500
PNC,201612130937,114.77,115,114.77,114.96,7410
PNC,201612130938,114.88,114.96,114.87,114.91,3900
PNC,201612130939,114.99,115.12,114.99,115.04,7039
PNC,201612130940,115.08,115.22,115.05,115.22,10074
PNC,201612130941,115.19,115.23,115.11,115.12,5887
PNC,201612130942,115.12,115.21,115.11,115.2,5589
PNC,201612130943,115.25,115.25,115.16,115.2,1590
PNC,201612130944,115.17,115.18,115.07,115.1,4950
PNC,201612130945,115.06,115.1,114.98,115,4114
PNC,201612130946,114.96,114.98,114.9,114.9,5095
PNC,201612130947,114.92,114.93,114.82,114.85,9438
PNC,201612130948,114.85,114.88,114.82,114.85,4695
PNC,201612130949,114.89,114.92,114.89,114.92,732
PNC,201612130950,114.93,114.93,114.84,114.88,2600
PNC,201612130951,114.86,114.9,114.84,114.9,9734
PNC,201612130952,114.86,114.96,114.86,114.87,12206
PNC,201612130953,114.87,114.9,114.78,114.8,4872
PNC,201612130954,114.78,114.81,114.77,114.8,4482
PNC,201612130955,114.83,114.83,114.8,114.81,2800
PNC,201612130956,114.81,114.85,114.81,114.84,3923
PNC,201612130957,114.86,114.89,114.84,114.89,1111
PNC,201612130958,114.84,114.87,114.83,114.87,1700
PNC,201612130959,114.87,114.88,114.8,114.83,8589
PNC,201612131000,114.84,114.85,114.8,114.82,8820
PNC,201612131001,114.82,114.84,114.8,114.81,2232
PNC,201612131002,114.8,114.83,114.79,114.82,10187
PNC,201612131003,114.81,114.81,114.74,114.74,6198
PNC,201612131004,114.79,114.79,114.73,114.73,1400
PNC,201612131005,114.74,114.77,114.73,114.75,2481
PNC,201612131006,114.75,114.81,114.75,114.79,4309
PNC,201612131007,114.81,114.82,114.77,114.8,7303
PNC,201612131008,114.81,114.89,114.79,114.88,4779
PNC,201612131009,114.88,114.93,114.87,114.93,1350
PNC,201612131010,114.93,114.96,114.91,114.91,4052
PNC,201612131011,114.91,114.93,114.91,114.93,4240
PNC,201612131012,114.94,115.05,114.92,115.05,4427
PNC,201612131013,115.05,115.05,115.01,115.03,5988
PNC,201612131014,115.02,115.02,114.93,114.94,5132
