<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
STT,201612120930,80.57,80.57,80.57,80.57,18324
STT,201612120931,80.57,80.71,80.57,80.71,1589
STT,201612120932,80.67,80.68,80.64,80.67,1980
STT,201612120933,80.68,80.71,80.67,80.71,1600
STT,201612120934,80.66,80.7,80.65,80.7,2202
STT,201612120935,80.7,80.83,80.7,80.78,3724
STT,201612120936,80.77,80.82,80.77,80.8,1500
STT,201612120937,80.77,80.93,80.77,80.83,3752
STT,201612120938,80.92,80.95,80.92,80.95,873
STT,201612120939,80.96,81.1,80.96,81.07,3301
STT,201612120940,81.07,81.13,81.06,81.06,5288
STT,201612120941,81.05,81.09,81.01,81.01,2398
STT,201612120942,81.12,81.21,81.1,81.12,5612
STT,201612120943,81.08,81.11,81.06,81.11,710
STT,201612120944,81.09,81.16,81.06,81.13,1002
STT,201612120945,81.19,81.29,81.13,81.24,5310
STT,201612120946,81.21,81.21,81.14,81.14,1600
STT,201612120947,81.15,81.17,81.08,81.11,5698
STT,201612120948,81.15,81.22,81.14,81.21,3602
STT,201612120949,81.21,81.25,81.19,81.25,3651
STT,201612120950,81.29,81.33,81.23,81.32,5457
STT,201612120951,81.3,81.31,81.27,81.31,2316
STT,201612120952,81.31,81.41,81.29,81.37,9333
STT,201612120953,81.31,81.34,81.25,81.25,7379
STT,201612120954,81.23,81.29,81.21,81.29,4290
STT,201612120955,81.26,81.41,81.26,81.41,2916
STT,201612120956,81.41,81.41,81.35,81.36,3162
STT,201612120957,81.35,81.37,81.34,81.37,2000
STT,201612120958,81.37,81.39,81.37,81.39,800
STT,201612120959,81.44,81.49,81.38,81.41,7049
STT,201612121000,81.42,81.46,81.36,81.39,3274
STT,201612121001,81.39,81.45,81.38,81.43,2538
STT,201612121002,81.42,81.44,81.36,81.4,2900
STT,201612121003,81.4,81.41,81.39,81.41,2834
STT,201612121004,81.41,81.42,81.4,81.42,300
STT,201612121005,81.39,81.39,81.28,81.28,9799
STT,201612121006,81.26,81.35,81.23,81.35,8479
STT,201612121007,81.36,81.36,81.29,81.32,1802
STT,201612121008,81.33,81.33,81.33,81.33,500
STT,201612121009,81.33,81.33,81.21,81.21,6797
STT,201612121010,81.22,81.24,81.18,81.18,15657
STT,201612121011,81.15,81.18,81.13,81.16,5199
STT,201612121012,81.14,81.14,81.04,81.04,2300
STT,201612121013,81.08,81.11,81.02,81.03,1871
STT,201612121014,80.99,81.05,80.96,80.96,1085
STT,201612121015,80.97,80.99,80.94,80.95,2168
STT,201612121016,80.93,80.93,80.85,80.86,1349
STT,201612121017,80.85,80.9,80.85,80.89,3566
STT,201612121018,80.86,80.88,80.86,80.87,900
STT,201612121019,80.86,80.88,80.84,80.84,400
STT,201612121020,80.87,80.94,80.87,80.94,1567
STT,201612121021,80.95,80.95,80.92,80.94,2705
STT,201612121022,80.97,80.97,80.94,80.94,500
STT,201612121023,80.98,80.98,80.98,80.98,100
STT,201612121024,80.94,80.94,80.9,80.93,2150
STT,201612121025,80.92,80.92,80.91,80.91,409
STT,201612121026,80.91,80.91,80.89,80.89,900
STT,201612121027,80.9,80.9,80.87,80.88,2526
STT,201612121028,80.88,80.88,80.86,80.86,500
STT,201612121029,80.81,80.81,80.78,80.78,1100
STT,201612121030,80.76,80.78,80.76,80.76,1629
STT,201612121031,80.76,80.79,80.75,80.77,2474
STT,201612121032,80.79,80.84,80.79,80.84,2693
STT,201612121033,80.81,80.85,80.8,80.85,800
STT,201612121034,80.84,80.84,80.78,80.8,3385
STT,201612121035,80.82,80.84,80.79,80.84,1415
STT,201612121036,80.83,80.87,80.83,80.85,2168
STT,201612121037,80.86,80.86,80.86,80.86,400
STT,201612121038,80.88,80.88,80.88,80.88,200
STT,201612121039,80.93,80.93,80.92,80.92,600
STT,201612121040,80.94,80.94,80.91,80.91,1550
