<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
BA,201612230900,158.11,158.11,158.1,158.1,200
BA,201612230905,158,158,158,158,100
BA,201612230908,158.19,158.19,158.19,158.19,300
BA,201612230922,158.19,158.19,158.19,158.19,100
BA,201612230923,158.06,158.2,158.06,158.2,539
BA,201612230924,158.2,158.3,158.2,158.3,357
BA,201612230925,158.33,158.33,158.3,158.3,492
BA,201612230927,158.31,158.31,158.3,158.31,500
BA,201612230928,158.3,158.3,158.3,158.3,1200
BA,201612230930,158.39,158.39,158.1,158.1,2066
BA,201612230931,158.07,158.07,157.82,157.94,2300
BA,201612230932,157.86,157.86,157.51,157.72,62610
BA,201612230933,157.79,157.81,157.56,157.67,2485
BA,201612230934,157.67,157.7,157.52,157.69,7306
BA,201612230935,157.67,157.79,157.54,157.79,18681
BA,201612230936,157.9,157.93,157.68,157.8,1630
BA,201612230937,157.8,157.83,157.61,157.65,3798
BA,201612230938,157.62,157.66,157.52,157.52,500
BA,201612230939,157.43,157.51,157.06,157.38,15636
BA,201612230940,157.14,157.28,157.07,157.16,2985
BA,201612230941,157.28,157.52,157.28,157.44,1723
BA,201612230942,157.48,157.63,157.48,157.52,4498
BA,201612230943,157.64,157.64,157.26,157.26,22814
BA,201612230944,157.2,157.2,156.93,157.02,11670
BA,201612230945,157.01,157.03,156.9,156.97,4230
BA,201612230946,156.93,156.99,156.58,156.58,12774
BA,201612230947,156.52,156.77,156.51,156.77,7997
BA,201612230948,156.74,156.85,156.74,156.81,4691
BA,201612230949,156.84,156.84,156.74,156.74,13388
BA,201612230950,156.74,156.9,156.74,156.78,3950
BA,201612230951,156.92,156.92,156.78,156.89,2736
BA,201612230952,156.88,157.01,156.84,156.92,2377
BA,201612230953,156.87,156.94,156.87,156.92,569
BA,201612230954,156.83,156.98,156.83,156.92,1345
BA,201612230955,156.9,156.9,156.73,156.83,4600
BA,201612230956,156.87,156.87,156.76,156.76,400
BA,201612230957,156.81,156.94,156.81,156.86,2049
BA,201612230958,156.85,156.86,156.77,156.82,2200
BA,201612230959,156.73,156.73,156.73,156.73,100
BA,201612231000,156.73,156.76,156.64,156.71,5571
BA,201612231001,156.63,156.69,156.62,156.64,4655
BA,201612231002,156.68,156.79,156.67,156.77,2663
BA,201612231003,156.82,156.85,156.74,156.85,1000
BA,201612231004,156.79,156.99,156.79,156.96,4200
BA,201612231005,156.96,157.07,156.95,157.03,7072
BA,201612231006,157.07,157.18,157.07,157.15,3070
BA,201612231007,157.14,157.24,157.12,157.21,1233
BA,201612231008,157.23,157.24,157.17,157.24,3266
BA,201612231009,157.24,157.29,157.22,157.25,11508
