<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
FOXA,201701170929,29.87,29.87,29.87,29.87,399
FOXA,201701170930,29.89,29.91,29.86,29.88,51623
FOXA,201701170931,29.88,29.91,29.87,29.89,9173
FOXA,201701170932,29.89,29.96,29.89,29.95,5948
FOXA,201701170933,29.95,29.99,29.93,29.98,16977
FOXA,201701170934,29.97,29.97,29.92,29.92,7492
FOXA,201701170935,29.94,29.97,29.92,29.95,22947
FOXA,201701170936,29.92,29.97,29.91,29.96,12267
FOXA,201701170937,29.96,29.99,29.96,29.99,3756
FOXA,201701170938,29.99,30.01,29.98,30,19252
FOXA,201701170939,29.99,29.99,29.96,29.98,9026
FOXA,201701170940,29.98,29.99,29.95,29.99,7454
FOXA,201701170941,29.99,29.99,29.95,29.96,18356
FOXA,201701170942,29.96,29.97,29.95,29.95,4233
FOXA,201701170943,29.95,29.96,29.95,29.95,35360
FOXA,201701170944,29.96,29.97,29.95,29.97,18819
FOXA,201701170945,29.96,29.96,29.92,29.95,12433
FOXA,201701170946,29.94,29.95,29.94,29.94,5687
FOXA,201701170947,29.93,29.93,29.9,29.9,6800
FOXA,201701170948,29.9,29.9,29.88,29.89,11200
FOXA,201701170949,29.89,29.91,29.88,29.91,7845
FOXA,201701170950,29.91,29.92,29.9,29.91,9400
FOXA,201701170951,29.91,29.91,29.89,29.89,8200
FOXA,201701170952,29.88,29.9,29.87,29.89,21924
FOXA,201701170953,29.88,29.91,29.88,29.9,5000
FOXA,201701170954,29.9,29.94,29.88,29.94,18654
FOXA,201701170955,29.94,29.94,29.91,29.93,10422
FOXA,201701170956,29.93,29.93,29.92,29.92,7538
FOXA,201701170957,29.93,29.93,29.91,29.92,9800
FOXA,201701170958,29.91,29.92,29.91,29.92,4522
FOXA,201701170959,29.92,29.92,29.91,29.91,12540
FOXA,201701171000,29.92,29.94,29.92,29.93,9600
FOXA,201701171001,29.94,29.95,29.93,29.95,13214
FOXA,201701171002,29.95,29.95,29.92,29.92,4760
FOXA,201701171003,29.91,29.92,29.9,29.9,1900
FOXA,201701171004,29.91,29.93,29.9,29.93,23610
